Contigs/genes number,CA_2to10DPI_align_un.txt,CA_2to10DPI_align_mult.txt,CA_11to28DPI_align_un.txt,CA_11to28DPI_align_mult.txt,CA_root_align_un.txt,CA_root_align_mult.txt
CONTIG364,2,2,4,4,2,2
CONTIG365,0,0,1,1,1,1
CONTIG366,0,0,0,0,0,0
CONTIG367,0,0,0,0,0,0
CONTIG368,0,0,0,0,0,0
CONTIG369,0,0,0,0,0,0
CONTIG370,0,0,5,5,0,0
CONTIG371,4,4,20,22,0,0
CONTIG372,0,0,1,1,1,1
CONTIG373,0,0,0,0,0,0
CONTIG374,0,0,0,0,0,0
CONTIG375,1,1,4,4,0,0
CONTIG376,7,9,3,3,4,4
CONTIG377,2,2,0,2,0,0
CONTIG378,13,13,53,55,8,8
CONTIG379,0,0,1,1,0,0
CONTIG380,2,2,4,4,1,1
CONTIG381,6,6,6,6,4,6
CONTIG382,0,0,1,1,0,0
CONTIG383,3,3,5,5,2,2
CONTIG384,0,0,1,1,2,2
CONTIG385,0,0,5,5,1,1
CONTIG386,1,1,1,1,0,0
CONTIG387,1,1,0,0,1,1
CONTIG388,0,0,0,0,0,0
CONTIG389,0,0,0,0,0,0
CONTIG390,1,1,0,0,0,0
CONTIG391,9,9,9,9,5,5
CONTIG392,1,1,1,1,0,0
CONTIG393,0,0,0,0,0,0
CONTIG394,10,14,22,26,4,4
CONTIG395,0,0,0,0,0,0
CONTIG396,0,0,0,0,0,0
CONTIG397,0,0,0,0,0,0
CONTIG398,0,0,0,0,0,0
CONTIG399,12,12,24,24,30,30
CONTIG400,6,6,5,5,3,3
CONTIG401,4,4,2,4,1,1
CONTIG402,1,1,5,5,2,2
CONTIG403,0,0,12,12,3,3
CONTIG404,0,0,4,4,1,1
CONTIG405,0,0,2,2,0,0
CONTIG406,47,49,47,47,62,62
CONTIG407,2,2,0,0,1,1
CONTIG408,2,2,1,1,0,0
CONTIG409,4,4,7,11,3,3
CONTIG410,1,3,4,8,0,0
CONTIG411,0,0,1,3,1,1
CONTIG412,0,0,3,3,1,1
CONTIG413,2,2,0,2,1,1
CONTIG414,18,18,30,32,6,6
CONTIG415,0,0,0,0,0,0
CONTIG416,0,0,3,3,0,0
CONTIG417,0,0,9,9,0,0
CONTIG418,1,1,1,1,1,1
CONTIG419,0,0,0,0,0,0
CONTIG420,4,4,11,13,1,1
CONTIG421,3,3,0,0,0,0
CONTIG422,59,61,122,128,44,44
CONTIG423,0,0,3,3,0,0
CONTIG424,0,0,3,3,0,0
CONTIG425,47,47,47,47,64,64
CONTIG426,1,1,4,4,1,3
CONTIG427,0,0,0,0,0,0
CONTIG428,0,0,0,0,0,0
CONTIG429,1,1,1,3,3,3
CONTIG430,5,5,17,17,1,1
CONTIG431,2,2,5,5,1,1
CONTIG432,33,33,37,37,37,39
CONTIG433,3,3,6,6,5,5
CONTIG434,5,5,5,5,2,2
CONTIG435,4,4,4,4,2,2
CONTIG436,0,0,1,1,0,0
CONTIG437,0,0,1,1,1,1
CONTIG438,10,10,12,12,9,9
CONTIG439,1,1,1,1,0,0
CONTIG440,0,0,1,1,0,0
CONTIG441,0,0,0,0,0,0
CONTIG442,0,0,2,2,0,0
CONTIG443,0,0,0,0,0,0
CONTIG444,0,0,0,0,0,0
CONTIG445,2,2,0,0,3,3
CONTIG446,3,3,0,0,3,3
CONTIG447,86,86,55,55,288,288
CONTIG448,3,3,1,1,1,1
CONTIG449,0,0,2,2,0,0
CONTIG450,0,0,0,0,7,7
CONTIG451,6,6,3,3,17,19
CONTIG452,1,1,4,4,0,0
CONTIG453,0,0,0,0,0,0
CONTIG454,0,0,0,0,1,1
CONTIG455,3,3,6,6,2,2
CONTIG456,0,0,0,0,0,0
CONTIG457,1,1,1,3,1,1
CONTIG458,0,0,0,0,0,0
CONTIG459,0,0,0,0,0,0
CONTIG460,87,89,79,79,94,94
CONTIG461,3,3,5,7,1,1
CONTIG462,0,0,1,1,0,0
CONTIG463,8,8,14,14,7,7
CONTIG464,0,0,0,0,0,0
CONTIG465,0,0,3,5,5,7
CONTIG466,10,10,9,11,10,14
CONTIG467,0,0,1,1,0,0
CONTIG468,3,3,2,2,1,1
CONTIG469,0,0,0,0,0,0
CONTIG470,0,0,0,0,0,0
CONTIG471,0,0,0,0,0,0
CONTIG472,9,9,9,11,10,10
CONTIG473,1,1,4,4,1,1
CONTIG474,0,0,1,1,0,0
CONTIG475,19,25,13,15,8,8
CONTIG476,62,62,49,49,48,50
CONTIG477,21,21,49,53,18,18
CONTIG478,1,1,3,3,0,0
CONTIG479,3,3,1,1,4,4
CONTIG480,0,0,2,2,1,1
CONTIG481,1,1,6,6,3,3
CONTIG482,0,0,0,0,2,2
CONTIG483,0,0,9,9,3,3
CONTIG484,1,1,4,4,3,3
CONTIG485,0,0,0,0,0,0
CONTIG486,6,6,9,9,1,1
CONTIG487,0,0,0,0,0,0
CONTIG488,1,1,3,3,0,0
CONTIG489,0,0,0,0,1,1
CONTIG490,3,3,1,1,0,0
CONTIG491,0,0,1,1,2,2
CONTIG492,0,0,0,0,1,1
CONTIG493,3,3,2,2,0,0
CONTIG494,1,1,20,22,1,1
CONTIG495,8,8,11,11,2,2
CONTIG496,0,0,0,0,0,0
CONTIG497,12,12,3,3,3,3
CONTIG498,40,40,46,46,18,20
CONTIG499,29,31,18,18,17,17
CONTIG500,106,114,118,124,105,111
CONTIG501,1,1,2,2,0,0
CONTIG502,0,0,1,1,0,0
CONTIG503,3,3,3,3,1,1
CONTIG504,0,0,3,3,2,2
CONTIG505,0,0,0,0,0,0
CONTIG506,0,0,15,19,0,0
CONTIG507,0,0,11,11,3,3
CONTIG508,0,0,0,0,0,0
CONTIG509,1,1,0,0,0,0
CONTIG510,0,0,3,3,0,0
CONTIG511,0,0,1,1,0,0
CONTIG512,0,0,0,0,0,0
CONTIG513,9,9,3,3,8,8
CONTIG514,5,5,3,3,4,4
CONTIG515,3,3,13,13,1,1
CONTIG516,0,0,0,0,0,0
CONTIG517,1,1,0,0,1,1
CONTIG518,2,2,3,3,2,2
CONTIG519,0,0,0,0,4,6
CONTIG520,0,0,2,2,1,1
CONTIG521,0,0,0,0,0,0
CONTIG522,13,13,20,20,3,3
CONTIG523,0,0,1,1,1,1
CONTIG524,0,0,0,0,0,0
CONTIG525,0,0,0,0,0,0
CONTIG526,0,0,1,1,1,1
CONTIG527,1,1,1,1,2,2
CONTIG528,0,0,3,3,0,0
CONTIG529,0,0,0,0,0,0
CONTIG530,1,1,1,1,0,0
CONTIG531,20,20,15,17,16,16
CONTIG532,4,4,0,0,0,0
CONTIG533,126,138,76,76,79,83
CONTIG534,0,0,0,0,0,0
CONTIG535,4,10,0,0,3,5
CONTIG536,0,0,2,2,0,0
CONTIG537,0,0,3,3,1,1
CONTIG538,0,0,0,0,0,0
CONTIG539,2,2,2,2,0,0
CONTIG540,1,1,9,9,1,1
CONTIG541,0,0,2,4,0,0
CONTIG542,11,11,7,7,4,6
CONTIG543,1,1,1,1,0,0
CONTIG544,18,20,39,47,13,15
CONTIG545,7,7,4,4,1,1
CONTIG546,0,0,0,0,0,0
CONTIG547,0,0,5,5,1,1
CONTIG548,2,2,0,0,0,0
CONTIG549,2,4,3,3,0,0
CONTIG550,4,4,1,1,2,2
CONTIG551,2,2,1,1,0,0
CONTIG552,10,10,4,4,2,2
CONTIG553,2,2,0,0,1,1
CONTIG554,3,3,1,1,0,0
CONTIG555,4,4,1,1,1,1
CONTIG556,7,7,1,1,14,20
CONTIG557,0,0,0,0,0,0
CONTIG558,0,0,6,6,3,3
CONTIG559,2,2,4,6,6,6
CONTIG560,0,0,3,3,0,0
CONTIG561,65,115,43,91,34,75
CONTIG562,25,27,10,10,12,12
CONTIG563,60,60,29,29,14,14
CONTIG564,20,20,7,7,11,13
CONTIG565,1,3,4,4,4,4
CONTIG566,0,0,3,3,3,3
CONTIG567,0,0,1,1,2,2
CONTIG568,7,7,1,1,30,30
CONTIG569,0,0,0,0,0,0
CONTIG570,2,2,5,5,0,0
CONTIG571,2,2,32,32,1,1
CONTIG572,0,0,1,1,0,0
CONTIG573,2,2,0,0,0,0
CONTIG574,1,1,2,2,0,0
CONTIG575,0,0,2,2,1,1
CONTIG576,0,0,1,1,0,0
CONTIG577,2,2,2,2,0,0
CONTIG578,1,1,3,3,1,1
CONTIG579,14,14,55,62,23,27
CONTIG580,2,2,1,1,4,6
CONTIG581,3,3,5,7,2,2
CONTIG582,14,14,13,13,19,21
CONTIG583,0,0,0,0,0,0
CONTIG584,9,9,13,13,8,10
CONTIG585,0,0,0,0,0,0
CONTIG586,0,0,0,0,0,0
CONTIG587,0,0,0,0,0,0
CONTIG588,4,4,6,6,5,5
CONTIG589,5,5,5,5,2,4
CONTIG590,0,0,2,2,3,3
CONTIG591,0,0,0,0,0,0
CONTIG592,0,0,2,2,0,0
CONTIG593,1,1,0,0,0,0
CONTIG594,4,4,10,10,4,4
CONTIG595,4,4,1,1,0,0
CONTIG596,1,1,0,0,1,1
CONTIG597,0,0,1,1,0,0
CONTIG598,0,0,0,0,0,0
CONTIG599,0,0,0,0,0,0
CONTIG600,0,0,1,1,0,0
CONTIG601,0,0,1,1,0,0
CONTIG602,2,2,1,1,0,0
CONTIG603,1,1,2,2,0,0
CONTIG604,4,4,1,1,2,2
CONTIG605,0,0,0,0,1,1
CONTIG606,6,6,11,11,11,11
CONTIG607,0,0,0,0,0,0
CONTIG608,0,0,6,6,0,0
CONTIG609,1,1,3,3,0,0
CONTIG610,158,160,194,202,193,193
CONTIG611,0,0,0,0,0,0
CONTIG612,0,0,0,0,0,0
CONTIG613,1,1,1,1,0,0
CONTIG614,0,0,0,0,1,1
CONTIG615,0,0,0,0,0,0
CONTIG616,0,0,0,0,0,0
CONTIG617,2,2,2,2,0,0
CONTIG618,8,8,24,24,18,18
CONTIG619,1,1,2,2,0,0
CONTIG620,8,8,15,15,41,43
CONTIG621,2,2,2,2,0,0
CONTIG622,2,2,2,4,2,2
CONTIG623,0,0,4,4,0,0
CONTIG624,3,5,4,4,0,0
CONTIG625,0,0,0,0,0,0
CONTIG626,3,3,0,0,3,3
CONTIG627,3,3,3,3,1,1
CONTIG628,0,0,3,3,0,2
CONTIG629,0,0,0,0,1,1
CONTIG630,1,1,1,1,0,0
CONTIG631,0,0,1,1,1,1
CONTIG632,6,6,10,12,9,11
CONTIG633,14,16,13,15,4,4
CONTIG634,1,1,0,0,0,0
CONTIG635,2,2,2,2,0,0
CONTIG636,1,1,0,0,1,3
CONTIG637,0,0,0,0,0,0
CONTIG638,0,0,3,3,0,0
CONTIG639,3,3,0,0,5,5
CONTIG640,0,0,0,0,0,0
CONTIG641,3,3,3,3,4,10
CONTIG642,2,2,0,0,2,2
CONTIG643,0,0,3,3,2,2
CONTIG644,0,0,1,1,1,1
CONTIG645,1,1,3,3,1,1
CONTIG646,0,0,4,4,1,1
CONTIG647,13,13,8,8,5,9
CONTIG648,1,1,2,2,0,0
CONTIG649,1,1,0,0,0,0
CONTIG650,1,1,0,0,1,1
CONTIG651,0,0,0,0,1,1
CONTIG652,0,0,0,0,0,0
CONTIG653,0,0,0,0,0,0
CONTIG654,1,1,1718,1842,0,0
CONTIG655,0,0,2,2,0,0
CONTIG656,0,0,12,13,0,0
CONTIG657,2,2,4,4,1,1
CONTIG658,0,0,1,1,1,1
CONTIG659,3,3,2,2,3,3
CONTIG660,1,1,4,4,13,13
CONTIG661,6,6,6,6,2,2
CONTIG662,0,0,2,2,0,0
CONTIG663,2,2,5,5,2,2
CONTIG664,0,0,2,2,1,1
CONTIG665,1,1,1,1,4,4
CONTIG666,0,0,1,1,1,1
CONTIG667,0,0,1,1,0,0
CONTIG668,0,0,1,1,0,0
CONTIG669,3,3,4,4,2,2
CONTIG670,4,4,1,1,0,0
CONTIG671,3,3,8,8,5,5
CONTIG672,1,3,5,5,2,2
CONTIG673,5,5,11,11,3,3
CONTIG674,2,2,1,1,0,0
CONTIG675,0,0,0,0,0,0
CONTIG676,0,0,0,0,0,0
CONTIG677,0,0,0,0,0,0
CONTIG678,0,0,0,0,0,0
CONTIG679,2,2,9,9,5,5
CONTIG680,1,1,0,0,9,9
CONTIG681,11,11,11,11,0,0
CONTIG682,0,0,0,0,0,0
CONTIG683,1,1,3,3,2,2
CONTIG684,0,0,0,0,0,0
CONTIG685,0,0,0,0,0,0
CONTIG686,0,0,2,2,1,1
CONTIG687,0,0,0,0,0,0
CONTIG688,0,0,0,0,0,0
CONTIG689,2,2,3,3,1,1
CONTIG690,0,0,0,0,0,0
CONTIG691,0,0,0,0,0,0
CONTIG692,8,8,6,6,2,2
CONTIG693,0,0,0,0,0,0
CONTIG694,1,1,1,1,2,2
CONTIG695,0,0,0,0,0,0
CONTIG696,0,0,0,0,0,0
