Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_001G052700g,1,0,318,770
gene:PHAVU_001G052800g,833,596,1083,837
gene:PHAVU_001G052900g,794,625,1037,791
gene:PHAVU_001G053000g,1485,1481,1679,1676
gene:PHAVU_001G053100g,134,45,134,45
gene:PHAVU_001G053200g,0,1,1,1
gene:PHAVU_001G053300g,0,0,0,0
gene:PHAVU_001G053400g,306,198,307,200
gene:PHAVU_001G053500g,108,75,297,212
gene:PHAVU_001G053600g,93,89,507,513
gene:PHAVU_001G053700g,44,43,121,129
gene:PHAVU_001G053800g,0,0,0,0
gene:PHAVU_001G0539001g,3,0,63,72
gene:PHAVU_001G0539000g,4,7,19,21
gene:PHAVU_001G054000g,1128,1296,1131,1300
gene:PHAVU_001G054100g,399,334,1005,900
gene:PHAVU_001G054200g,118,78,141,95
gene:PHAVU_001G054300g,11,5,11,5
gene:PHAVU_001G054400g,474,1394,500,1444
gene:PHAVU_001G054500g,7,72,35,114
gene:PHAVU_001G054600g,1,1,1,1
gene:PHAVU_001G054700g,1332,1188,1359,1207
gene:PHAVU_001G054800g,18,13,45,18
gene:PHAVU_001G054900g,75,2,102,7
gene:PHAVU_001G055000g,15,57,16,60
gene:PHAVU_001G0551001g,0,0,0,0
gene:PHAVU_001G0551000g,5,31,18,37
gene:PHAVU_001G055200g,282,242,286,242
gene:PHAVU_001G055300g,62,25,62,25
gene:PHAVU_001G055400g,310,141,312,141
gene:PHAVU_001G055500g,297,285,338,321
gene:PHAVU_001G055600g,1287,745,1314,753
gene:PHAVU_001G055700g,315,360,316,365
gene:PHAVU_001G0558001g,157,86,163,88
gene:PHAVU_001G0558000g,816,559,818,559
gene:PHAVU_001G055900g,279,253,291,262
gene:PHAVU_001G056000g,0,0,0,0
gene:PHAVU_001G056100g,24,1,34,8
gene:PHAVU_001G056200g,2,2,40,50
gene:PHAVU_001G056300g,3463,3075,3474,3087
gene:PHAVU_001G056400g,248,44,251,44
gene:PHAVU_001G056500g,382,189,614,314
